paper_id,title,field,abstract,published,year
http://arxiv.org/abs/cs/9301111v1,Nested satisfiability,computer_science,"A special case of the satisfiability problem, in which the clauses have a hierarchical structure, is shown to be solvable in linear time, assuming that the clauses have been represented in a convenient way.",1990-01-01 00:00:00+00:00,1990
http://arxiv.org/abs/cs/9301112v1,A note on digitized angles,computer_science,We study the configurations of pixels that occur when two digitized straight lines meet each other.,1990-04-01 00:00:00+00:00,1990
http://arxiv.org/abs/cs/9301113v1,Textbook examples of recursion,computer_science,"We discuss properties of recursive schemas related to McCarthy's ``91 function'' and to Takeuchi's triple recursion. Several theorems are proposed as interesting candidates for machine verification, and some intriguing open questions are raised.",1991-08-01 00:00:00+00:00,1991
http://arxiv.org/abs/cs/9301114v1,Theory and practice,computer_science,"The author argues to Silicon Valley that the most important and powerful part of computer science is work that is simultaneously theoretical and practical. He particularly considers the intersection of the theory of algorithms and practical software development. He combines examples from the development of the TeX typesetting system with clever jokes, criticisms, and encouragements.",1991-11-01 00:00:00+00:00,1991
http://arxiv.org/abs/cs/9301115v1,Context-free multilanguages,computer_science,"This article is a sketch of ideas that were once intended to appear in the author's famous series, ""The Art of Computer Programming"". He generalizes the notion of a context-free language from a set to a multiset of words over an alphabet. The idea is to keep track of the number of ways to parse a string. For example, ""fruit flies like a banana"" can famously be parsed in two ways; analogous examples in the setting of programming languages may yet be important in the future.
  The treatment is informal but essentially rigorous.",1991-12-01 00:00:00+00:00,1991
http://arxiv.org/abs/cs/9301116v1,The problem of compatible representatives,computer_science,The purpose of this note is to attach a name to a natural class of combinatorial problems and to point out that this class includes many important special cases. We also show that a simple problem of placing nonoverlapping labels on a rectangular map is NP-complete.,1992-07-01 00:00:00+00:00,1992
http://arxiv.org/abs/cs/9308101v1,Dynamic Backtracking,computer_science,"Because of their occasional need to return to shallow points in a search tree, existing backtracking methods can sometimes erase meaningful progress toward solving a search problem. In this paper, we present a method by which backtrack points can be moved deeper in the search space, thereby avoiding this difficulty. The technique developed is a variant of dependency-directed backtracking that uses only polynomial space while still providing useful control information and retaining the completeness guarantees provided by earlier approaches.",1993-08-01 00:00:00+00:00,1993
http://arxiv.org/abs/cs/9308102v1,A Market-Oriented Programming Environment and its Application to Distributed Multicommodity Flow Problems,computer_science,"Market price systems constitute a well-understood class of mechanisms that under certain conditions provide effective decentralization of decision making with minimal communication overhead. In a market-oriented programming approach to distributed problem solving, we derive the activities and resource allocations for a set of computational agents by computing the competitive equilibrium of an artificial economy. WALRAS provides basic constructs for defining computational market structures, and protocols for deriving their corresponding price equilibria. In a particular realization of this approach for a form of multicommodity flow problem, we see that careful construction of the decision process according to economic principles can lead to efficient distributed resource allocation, and that the behavior of the system can be meaningfully analyzed in economic terms.",1993-08-01 00:00:00+00:00,1993
http://arxiv.org/abs/cs/9309101v1,An Empirical Analysis of Search in GSAT,computer_science,"We describe an extensive study of search in GSAT, an approximation procedure for propositional satisfiability. GSAT performs greedy hill-climbing on the number of satisfied clauses in a truth assignment. Our experiments provide a more complete picture of GSAT's search than previous accounts. We describe in detail the two phases of search: rapid hill-climbing followed by a long plateau search. We demonstrate that when applied to randomly generated 3SAT problems, there is a very simple scaling with problem size for both the mean number of satisfied clauses and the mean branching rate. Our results allow us to make detailed numerical conjectures about the length of the hill-climbing phase, the average gradient of this phase, and to conjecture that both the average score and average branching rate decay exponentially during plateau search. We end by showing how these results can be used to direct future theoretical analysis. This work provides a case study of how computer experiments can be used to improve understanding of the theoretical properties of algorithms.",1993-09-01 00:00:00+00:00,1993
http://arxiv.org/abs/math/9310227v1,A linear construction for certain Kerdock and Preparata codes,computer_science,"The Nordstrom-Robinson, Kerdock, and (slightly modified) Pre\- parata codes are shown to be linear over $\ZZ_4$, the integers $\bmod~4$. The Kerdock and Preparata codes are duals over $\ZZ_4$, and the Nordstrom-Robinson code is self-dual. All these codes are just extended cyclic codes over $\ZZ_4$. This provides a simple definition for these codes and explains why their Hamming weight distributions are dual to each other. First- and second-order Reed-Muller codes are also linear codes over $\ZZ_4$, but Hamming codes in general are not, nor is the Golay code.",1993-10-01 00:00:00+00:00,1993
